lv_d,exp_d
1,30
2,60
3,105
4,165
5,240
6,330
7,435
8,555
9,690
10,840
11,1005
12,1185
13,1380
14,1590
15,1815
16,2055
17,2310
18,2580
19,2865
20,3165
21,3480
22,3810
23,4155
24,4515
25,4890
26,5280
27,5685
28,6105
29,6540
30,6990
31,7455
32,7935
33,8430
34,8940
35,9465
36,10005
37,10560
38,11130
39,11715
40,12315
41,12930
42,13560
43,14205
44,14865
45,15540
46,16230
47,16935
48,17655
49,18390
50,19140
51,19905
52,20685
53,21480
54,22290
55,23115
56,23955
57,24810
58,25680
59,26565
60,27465
61,28380
62,29310
63,30255
64,31215
65,32190
66,33180
67,34185
68,35205
69,36240
70,37290
71,38355
72,39435
73,40530
74,41640
75,42765
76,43905
77,45060
78,46230
79,47415
80,48615
81,49830
82,51060
83,52305
84,53565
85,54840
86,56130
87,57435
88,58755
89,60090
90,61440
91,62805
92,64185
93,65580
94,66990
95,68415
96,69855
97,71310
98,72780
99,74265
100,0
