slid,sid,r_origin_rarity,r_origin_s_name,r_origin_power_rate,r_origin_hit,r_goal_powerate,lv,r_dragon,t_name,col_01,mod_01,val_01,col_02,mod_02,val_02,col_03,mod_03,val_03,col_04,mod_04,val_04,col_05,mod_05,val_05,desc_1,desc_2,desc_3,desc_4,desc_5,t_desc
20221301,202213,legend,드래그 스킬,133,3,30,1,불 번개고룡,뇌룡포,,,,,,,,,,,,,,,,,,,,,
20221302,202213,legend,드래그 스킬,133,3,30,2,불 번개고룡,뇌룡포,power_rate,add,10,,,,,,,,,,,,,,,,,,
20221303,202213,legend,드래그 스킬,133,3,30,3,불 번개고룡,뇌룡포,power_rate,add,10,,,,,,,,,,,,,,,,,,
20221304,202213,legend,드래그 스킬,133,3,30,4,불 번개고룡,뇌룡포,power_rate,add,10,,,,,,,,,,,,,,,,,,
20221305,202213,legend,드래그 스킬,133,3,30,5,불 번개고룡,뇌룡포,power_rate,add,10,,,,,,,,,,,,,,,,,,
20222301,202223,legend,패시브 1,50,1,,1,불 번개고룡,고룡의 권능,,,,,,,,,,,,,,,,,,,,,
20222302,202223,legend,패시브 1,50,1,50,2,불 번개고룡,고룡의 권능,power_rate,add,10,,,,,,,,,,,,,,,,,,
20222303,202223,legend,패시브 1,50,1,,3,불 번개고룡,고룡의 권능,power_rate,add,10,,,,,,,,,,,,,,,,,,
20222304,202223,legend,패시브 1,50,1,,4,불 번개고룡,고룡의 권능,power_rate,add,10,,,,,,,,,,,,,,,,,,
20222305,202223,legend,패시브 1,50,1,,5,불 번개고룡,고룡의 권능,power_rate,add,10,,,,,,,,,,,,,,,,,,
20223301,202233,legend,패시브 2,,1,,1,불 번개고룡,공격 속도 증가,,,,,,,,,,,,,,,,,,,,,
20223302,202233,legend,패시브 2,,1,,2,불 번개고룡,공격 속도 증가,chance_value,add,5,,,,,,,,,,,,,,,,,,
20223303,202233,legend,패시브 2,,1,,3,불 번개고룡,공격 속도 증가,add_option_time_1,add,2,,,,,,,,,,,,,,,,,,
20223304,202233,legend,패시브 2,,1,,4,불 번개고룡,공격 속도 증가,chance_value,add,5,,,,,,,,,,,,,,,,,,
20223305,202233,legend,패시브 2,,1,,5,불 번개고룡,공격 속도 증가,add_option_time_1,add,2,,,,,,,,,,,,,,,,,,
20221401,202214,legend,드래그 스킬,133,3,30,1,빛 번개고룡,뇌룡포,,,,,,,,,,,,,,,,,,,,,
20221402,202214,legend,드래그 스킬,133,3,30,2,빛 번개고룡,뇌룡포,power_rate,add,10,,,,,,,,,,,,,,,,,,
20221403,202214,legend,드래그 스킬,133,3,30,3,빛 번개고룡,뇌룡포,power_rate,add,10,,,,,,,,,,,,,,,,,,
