slime,t_name,material_type,type,res,test,scale,giving_exp,req_gold_per_mtrl,icon,pick_weight,rarity,role,attr,char_type,skill,atk_max,def_max,hp_max,aspd,cri_chance,cri_dmg,cri_avoid,hit_rate,avoid,t_desc
129011,그린 슬라임,exp,slime,res/character/dragon/exp_slime_@_#/exp_slime_@_#.spine,1,0.8,3500,500,res/ui/icon/cha/exp_slime_@_#.png,0,common,supporter,earth,physical,200000,100,100,100,0,0,0,0,0,0,레벨업 재료로 사용하면 많은 경험치를 제공하는 슬라임
129021,그린 슬라임,exp,slime,res/character/dragon/exp_slime_@_#/exp_slime_@_#.spine,1,0.8,7000,1200,res/ui/icon/cha/exp_slime_@_#.png,0,common,supporter,earth,physical,200000,100,100,100,0,0,0,0,0,0,상큼한 향기가 나는 매우 많은 경험치를 제공하는 슬라임
129031,그린 슬라임,exp,slime,res/character/dragon/exp_slime_@_#/exp_slime_@_#.spine,1,0.8,15000,3000,res/ui/icon/cha/exp_slime_@_#.png,0,common,supporter,earth,physical,200000,100,100,100,0,0,0,0,0,0,먹으면 안될 것처럼 생겼지만 경험치를 대폭 올려주는 슬라임
129012,블루 슬라임,exp,slime,res/character/dragon/exp_slime_@_#/exp_slime_@_#.spine,1,0.8,3500,500,res/ui/icon/cha/exp_slime_@_#.png,0,common,supporter,water,physical,200000,100,100,100,0,0,0,0,0,0,레벨업 재료로 사용하면 많은 경험치를 제공하는 슬라임
129022,블루 슬라임,exp,slime,res/character/dragon/exp_slime_@_#/exp_slime_@_#.spine,1,0.8,7000,1200,res/ui/icon/cha/exp_slime_@_#.png,0,common,supporter,water,physical,200000,100,100,100,0,0,0,0,0,0,은은한 향기가 나는 매우 많은 경험치를 제공하는 슬라임
129032,블루 슬라임,exp,slime,res/character/dragon/exp_slime_@_#/exp_slime_@_#.spine,1,0.8,15000,3000,res/ui/icon/cha/exp_slime_@_#.png,0,common,supporter,water,physical,200000,100,100,100,0,0,0,0,0,0,먹으면 안될 것처럼 생겼지만 경험치를 대폭 올려주는 슬라임
129013,레드 슬라임,exp,slime,res/character/dragon/exp_slime_@_#/exp_slime_@_#.spine,1,0.8,3500,500,res/ui/icon/cha/exp_slime_@_#.png,0,common,supporter,fire,physical,200000,100,100,100,0,0,0,0,0,0,레벨업 재료로 사용하면 많은 경험치를 제공하는 슬라임
129023,레드 슬라임,exp,slime,res/character/dragon/exp_slime_@_#/exp_slime_@_#.spine,1,0.8,7000,1200,res/ui/icon/cha/exp_slime_@_#.png,0,common,supporter,fire,physical,200000,100,100,100,0,0,0,0,0,0,매콤한 향기가 나는 매우 많은 경험치를 제공하는 슬라임
129033,레드 슬라임,exp,slime,res/character/dragon/exp_slime_@_#/exp_slime_@_#.spine,1,0.8,15000,3000,res/ui/icon/cha/exp_slime_@_#.png,0,common,supporter,fire,physical,200000,100,100,100,0,0,0,0,0,0,먹으면 안될 것처럼 생겼지만 경험치를 대폭 올려주는 슬라임
129014,화이트 슬라임,exp,slime,res/character/dragon/exp_slime_@_#/exp_slime_@_#.spine,1,0.8,3500,500,res/ui/icon/cha/exp_slime_@_#.png,0,common,supporter,light,physical,200000,100,100,100,0,0,0,0,0,0,레벨업 재료로 사용하면 많은 경험치를 제공하는 슬라임
129024,화이트 슬라임,exp,slime,res/character/dragon/exp_slime_@_#/exp_slime_@_#.spine,1,0.8,7000,1200,res/ui/icon/cha/exp_slime_@_#.png,0,common,supporter,light,physical,200000,100,100,100,0,0,0,0,0,0,방향제 향기가 나는 매우 많은 경험치를 제공하는 슬라임
129034,화이트 슬라임,exp,slime,res/character/dragon/exp_slime_@_#/exp_slime_@_#.spine,1,0.8,15000,3000,res/ui/icon/cha/exp_slime_@_#.png,0,common,supporter,light,physical,200000,100,100,100,0,0,0,0,0,0,먹으면 안될 것처럼 생겼지만 경험치를 대폭 올려주는 슬라임
129015,블랙 슬라임,exp,slime,res/character/dragon/exp_slime_@_#/exp_slime_@_#.spine,1,0.8,3500,500,res/ui/icon/cha/exp_slime_@_#.png,0,common,supporter,dark,physical,200000,100,100,100,0,0,0,0,0,0,레벨업 재료로 사용하면 많은 경험치를 제공하는 슬라임
129025,블랙 슬라임,exp,slime,res/character/dragon/exp_slime_@_#/exp_slime_@_#.spine,1,0.8,7000,1200,res/ui/icon/cha/exp_slime_@_#.png,0,common,supporter,dark,physical,200000,100,100,100,0,0,0,0,0,0,이상한 향기가 나는 매우 많은 경험치를 제공하는 슬라임
129035,블랙 슬라임,exp,slime,res/character/dragon/exp_slime_@_#/exp_slime_@_#.spine,1,0.8,15000,3000,res/ui/icon/cha/exp_slime_@_#.png,0,common,supporter,dark,physical,200000,100,100,100,0,0,0,0,0,0,먹으면 안될 것처럼 생겼지만 경험치를 대폭 올려주는 슬라임
129134,슈퍼 슬라임,upgrade,slime,res/character/dragon/grade_slime_03/grade_slime_03.spine,1,0.8,,,res/ui/icon/cha/grade_slime_03.png,0,common,supporter,light,physical,200000,100,100,100,0,0,0,0,0,0,등급 상승 재료로 사용할 수 있는 신비한 슬라임
129144,슈퍼 슬라임,upgrade,slime,res/character/dragon/grade_slime_03/grade_slime_03.spine,1,0.8,,,res/ui/icon/cha/grade_slime_03.png,0,common,supporter,light,physical,200000,100,100,100,0,0,0,0,0,0,등급 상승 재료로 사용할 수 있는 신비한 슬라임
129154,슈퍼 슬라임,upgrade,slime,res/character/dragon/grade_slime_03/grade_slime_03.spine,1,0.8,,,res/ui/icon/cha/grade_slime_03.png,0,common,supporter,light,physical,200000,100,100,100,0,0,0,0,0,0,등급 상승 재료로 사용할 수 있는 신비한 슬라임
